variable1,variable2,correlation_value
overcrowding,percent_overcrowding,0.999209616
num_households_CDC,num_housing_units,0.998225893
num_housing_units,num_households_CDC,0.998225893
labor_force,total_population,0.996637894
total_population,labor_force,0.996637894
num_households_CDC,total_population,0.996259559
total_population,num_households_CDC,0.996259559
num_households_CDC,labor_force,0.994418072
labor_force,num_households_CDC,0.994418072
num_housing_units,total_population,0.994139937
total_population,num_housing_units,0.994139937
num_housing_units,labor_force,0.99072898
labor_force,num_housing_units,0.99072898
percent_age_65_and_older,percent_65_and_over,0.978487757
percent_65_and_over,percent_age_65_and_older,0.978487757
percent_limited_english_abilities,percent_not_proficient_in_english,0.977847933
percent_not_proficient_in_english,percent_limited_english_abilities,0.977847933
percent_age_17_and_younger,percent_less_than_18_years_of_age,0.967443847
percent_less_than_18_years_of_age,percent_age_17_and_younger,0.967443847
percent_frequent_mental_distress,percent_frequent_physical_distress,0.963402189
percent_frequent_physical_distress,percent_frequent_mental_distress,0.963402189
percentile_rank_disabled,percent_disabled,0.961945234
percent_disabled,percentile_rank_disabled,0.961945234
num_households_CDC,num_associations,0.959449111
num_associations,num_households_CDC,0.959449111
num_housing_units,num_associations,0.953775758
num_associations,num_housing_units,0.953775758
percentile_rank_mobile_homes,percent_mobile_homes,0.950556626
percent_mobile_homes,percentile_rank_mobile_homes,0.950556626
percentile_rank_age_65_and_older,percent_age_65_and_older,0.950221449
percent_age_65_and_older,percentile_rank_age_65_and_older,0.950221449
percentile_rank_single_parent_households,percent_single_parent_households_CDC,0.946991425
percent_single_parent_households_CDC,percentile_rank_single_parent_households,0.946991425
percentile_rank_no_highschool_diploma,percent_no_highschool_diploma,0.945853804
percent_no_highschool_diploma,percentile_rank_no_highschool_diploma,0.945853804
percentile_rank_below_poverty,percent_below_poverty,0.945457418
percent_below_poverty,percentile_rank_below_poverty,0.945457418
num_associations,labor_force,0.944250994
labor_force,num_associations,0.944250994
num_associations,total_population,0.942686587
total_population,num_associations,0.942686587
median_household_income,eightieth_percentile_income,0.936973493
eightieth_percentile_income,median_household_income,0.936973493
median_household_income,twentieth_percentile_income,0.935631723
twentieth_percentile_income,median_household_income,0.935631723
percentile_rank_age_17_and_younger,percent_age_17_and_younger,0.933189527
percent_age_17_and_younger,percentile_rank_age_17_and_younger,0.933189527
percentile_rank_age_65_and_older,percent_65_and_over,0.930055926
percent_65_and_over,percentile_rank_age_65_and_older,0.930055926
percentile_rank_unemployed,percent_unemployed_CDC,0.929360191
percent_unemployed_CDC,percentile_rank_unemployed,0.929360191
percentile_rank_minorities,percent_minorities,0.921966088
percent_minorities,percentile_rank_minorities,0.921966088
percent_frequent_physical_distress,percent_fair_or_poor_health,0.920000174
percent_fair_or_poor_health,percent_frequent_physical_distress,0.920000174
percentile_rank_age_17_and_younger,percent_less_than_18_years_of_age,0.910542721
percent_less_than_18_years_of_age,percentile_rank_age_17_and_younger,0.910542721
percentile_rank_socioeconomic_theme,percentile_rank_below_poverty,0.910431171
percentile_rank_below_poverty,percentile_rank_socioeconomic_theme,0.910431171
percentile_rank_social_vulnerability,percentile_rank_socioeconomic_theme,0.904231098
percentile_rank_socioeconomic_theme,percentile_rank_social_vulnerability,0.904231098
percentile_rank_socioeconomic_theme,percentile_rank_per_capita_income,0.897939122
percentile_rank_per_capita_income,percentile_rank_socioeconomic_theme,0.897939122
percentile_rank_minority_status_and_language_theme,percentile_rank_minorities,0.882850691
percentile_rank_minorities,percentile_rank_minority_status_and_language_theme,0.882850691
per_capita_income,eightieth_percentile_income,0.880109881
eightieth_percentile_income,per_capita_income,0.880109881
percentile_rank_no_vehicle,percent_no_vehicle,0.879364659
percent_no_vehicle,percentile_rank_no_vehicle,0.879364659
percentile_rank_minority_status_and_language_theme,percentile_rank_limited_english_abilities,0.876830253
percentile_rank_limited_english_abilities,percentile_rank_minority_status_and_language_theme,0.876830253
twentieth_percentile_income,eightieth_percentile_income,0.871620139
eightieth_percentile_income,twentieth_percentile_income,0.871620139
per_capita_income,median_household_income,0.86224129
median_household_income,per_capita_income,0.86224129
percentile_rank_socioeconomic_theme,percent_below_poverty,0.861660647
percent_below_poverty,percentile_rank_socioeconomic_theme,0.861660647
percentile_rank_socioeconomic_theme,percent_children_in_poverty,0.855877764
percent_children_in_poverty,percentile_rank_socioeconomic_theme,0.855877764
percentile_rank_socioeconomic_theme,percentile_rank_no_highschool_diploma,0.855446573
percentile_rank_no_highschool_diploma,percentile_rank_socioeconomic_theme,0.855446573
percent_frequent_mental_distress,percent_fair_or_poor_health,0.854032957
percent_fair_or_poor_health,percent_frequent_mental_distress,0.854032957
percent_below_poverty,percent_children_in_poverty,0.853620784
percent_children_in_poverty,percent_below_poverty,0.853620784
percentile_rank_social_vulnerability,percentile_rank_below_poverty,0.851518648
percentile_rank_below_poverty,percentile_rank_social_vulnerability,0.851518648
percent_limited_english_abilities,percent_hispanic,0.846872499
percent_hispanic,percent_limited_english_abilities,0.846872499
percent_frequent_mental_distress,percent_smokers,0.845753551
percent_smokers,percent_frequent_mental_distress,0.845753551
percent_frequent_physical_distress,percent_smokers,0.83917523
percent_smokers,percent_frequent_physical_distress,0.83917523
percentile_rank_socioeconomic_theme,percent_fair_or_poor_health,0.838277206
percent_fair_or_poor_health,percentile_rank_socioeconomic_theme,0.838277206
percent_not_proficient_in_english,percent_hispanic,0.836433081
percent_hispanic,percent_not_proficient_in_english,0.836433081
percentile_rank_below_poverty,percent_children_in_poverty,0.83421247
percent_children_in_poverty,percentile_rank_below_poverty,0.83421247
percentile_rank_socioeconomic_theme,percent_frequent_physical_distress,0.833484448
percent_frequent_physical_distress,percentile_rank_socioeconomic_theme,0.833484448
percent_below_poverty,percent_frequent_physical_distress,0.826548296
percent_frequent_physical_distress,percent_below_poverty,0.826548296
percent_children_in_poverty,percent_fair_or_poor_health,0.826040047
percent_fair_or_poor_health,percent_children_in_poverty,0.826040047
percentile_rank_overcrowding,percent_overcrowding,0.823365816
percent_overcrowding,percentile_rank_overcrowding,0.823365816
percentile_rank_overcrowding,overcrowding,0.82265095
overcrowding,percentile_rank_overcrowding,0.82265095
percent_below_poverty,percent_fair_or_poor_health,0.821844797
percent_fair_or_poor_health,percent_below_poverty,0.821844797
per_capita_income,twentieth_percentile_income,0.815527259
twentieth_percentile_income,per_capita_income,0.815527259
percent_severe_housing_cost_burden,percent_severe_housing_problems,0.812341438
percent_severe_housing_problems,percent_severe_housing_cost_burden,0.812341438
percent_below_poverty,percent_food_insecure,0.808752757
percent_food_insecure,percent_below_poverty,0.808752757
percentile_rank_social_vulnerability,percentile_rank_no_highschool_diploma,0.807322479
percentile_rank_no_highschool_diploma,percentile_rank_social_vulnerability,0.807322479
percentile_rank_socioeconomic_theme,percent_frequent_mental_distress,0.805164868
percent_frequent_mental_distress,percentile_rank_socioeconomic_theme,0.805164868
percentile_rank_below_poverty,percent_frequent_physical_distress,0.804163477
percent_frequent_physical_distress,percentile_rank_below_poverty,0.804163477
percentile_rank_multi_unit_housing,percent_multi_unit_housing,0.803396715
percent_multi_unit_housing,percentile_rank_multi_unit_housing,0.803396715
percentile_rank_social_vulnerability,percent_children_in_poverty,0.802705617
percent_children_in_poverty,percentile_rank_social_vulnerability,0.802705617
percentile_rank_social_vulnerability,percent_below_poverty,0.802510588
percent_below_poverty,percentile_rank_social_vulnerability,0.802510588
percentile_rank_per_capita_income,percentile_rank_below_poverty,0.799525927
percentile_rank_below_poverty,percentile_rank_per_capita_income,0.799525927
percentile_rank_social_vulnerability,percent_fair_or_poor_health,0.796529624
percent_fair_or_poor_health,percentile_rank_social_vulnerability,0.796529624
percent_frequent_physical_distress,percent_children_in_poverty,0.796410646
percent_children_in_poverty,percent_frequent_physical_distress,0.796410646
percentile_rank_socioeconomic_theme,percentile_rank_unemployed,0.793491609
percentile_rank_unemployed,percentile_rank_socioeconomic_theme,0.793491609
percentile_rank_socioeconomic_theme,percent_no_highschool_diploma,0.793136001
percent_no_highschool_diploma,percentile_rank_socioeconomic_theme,0.793136001
percentile_rank_below_poverty,percent_fair_or_poor_health,0.788325936
percent_fair_or_poor_health,percentile_rank_below_poverty,0.788325936
percent_no_highschool_diploma,percent_fair_or_poor_health,0.787151042
percent_fair_or_poor_health,percent_no_highschool_diploma,0.787151042
percent_enrolled_in_free_or_reduced_lunch,percent_children_in_poverty,0.78601276
percent_children_in_poverty,percent_enrolled_in_free_or_reduced_lunch,0.78601276
percent_below_poverty,percent_frequent_mental_distress,0.782931756
percent_frequent_mental_distress,percent_below_poverty,0.782931756
percentile_rank_minority_status_and_language_theme,percent_minorities,0.781892092
percent_minorities,percentile_rank_minority_status_and_language_theme,0.781892092
percentile_rank_no_highschool_diploma,percent_fair_or_poor_health,0.781537478
percent_fair_or_poor_health,percentile_rank_no_highschool_diploma,0.781537478
percentile_rank_below_poverty,percent_frequent_mental_distress,0.7798663
percent_frequent_mental_distress,percentile_rank_below_poverty,0.7798663
percent_food_insecure,percent_children_in_poverty,0.778846246
percent_children_in_poverty,percent_food_insecure,0.778846246
percentile_rank_below_poverty,percent_food_insecure,0.77687698
percent_food_insecure,percentile_rank_below_poverty,0.77687698
percentile_rank_per_capita_income,percent_children_in_poverty,0.774883818
percent_children_in_poverty,percentile_rank_per_capita_income,0.774883818
percentile_rank_per_capita_income,percent_below_poverty,0.774626664
percent_below_poverty,percentile_rank_per_capita_income,0.774626664
percentile_rank_socioeconomic_theme,percent_enrolled_in_free_or_reduced_lunch,0.770856802
percent_enrolled_in_free_or_reduced_lunch,percentile_rank_socioeconomic_theme,0.770856802
percentile_rank_social_vulnerability,percentile_rank_per_capita_income,0.769368233
percentile_rank_per_capita_income,percentile_rank_social_vulnerability,0.769368233
percentile_rank_per_capita_income,percent_frequent_physical_distress,0.762634866
percent_frequent_physical_distress,percentile_rank_per_capita_income,0.762634866
percentile_rank_per_capita_income,percent_fair_or_poor_health,0.760915877
percent_fair_or_poor_health,percentile_rank_per_capita_income,0.760915877
percent_frequent_mental_distress,percent_children_in_poverty,0.759798133
percent_children_in_poverty,percent_frequent_mental_distress,0.759798133
percentile_rank_social_vulnerability,percent_enrolled_in_free_or_reduced_lunch,0.756383075
percent_enrolled_in_free_or_reduced_lunch,percentile_rank_social_vulnerability,0.756383075
percentile_rank_social_vulnerability,percentile_rank_housing_and_transportation,0.754205733
percentile_rank_housing_and_transportation,percentile_rank_social_vulnerability,0.754205733
percentile_rank_social_vulnerability,percent_no_highschool_diploma,0.752774073
percent_no_highschool_diploma,percentile_rank_social_vulnerability,0.752774073
percentile_rank_socioeconomic_theme,percent_unemployed_CDC,0.747942528
percent_unemployed_CDC,percentile_rank_socioeconomic_theme,0.747942528
percentile_rank_no_highschool_diploma,percentile_rank_per_capita_income,0.745828859
percentile_rank_per_capita_income,percentile_rank_no_highschool_diploma,0.745828859
teen_birth_rate,percent_fair_or_poor_health,0.744989732
percent_fair_or_poor_health,teen_birth_rate,0.744989732
percentile_rank_social_vulnerability,percent_frequent_physical_distress,0.732711243
percent_frequent_physical_distress,percentile_rank_social_vulnerability,0.732711243
percentile_rank_no_highschool_diploma,percent_children_in_poverty,0.730236084
percent_children_in_poverty,percentile_rank_no_highschool_diploma,0.730236084
percent_smokers,percent_fair_or_poor_health,0.726654551
percent_fair_or_poor_health,percent_smokers,0.726654551
percentile_rank_per_capita_income,percent_frequent_mental_distress,0.724432514
percent_frequent_mental_distress,percentile_rank_per_capita_income,0.724432514
percent_food_insecure,percent_frequent_physical_distress,0.724129054
percent_frequent_physical_distress,percent_food_insecure,0.724129054
percentile_rank_no_highschool_diploma,teen_birth_rate,0.720455397
teen_birth_rate,percentile_rank_no_highschool_diploma,0.720455397
percent_insufficient_sleep,percent_frequent_mental_distress,0.718637197
percent_frequent_mental_distress,percent_insufficient_sleep,0.718637197
percentile_rank_below_poverty,percent_enrolled_in_free_or_reduced_lunch,0.718560648
percent_enrolled_in_free_or_reduced_lunch,percentile_rank_below_poverty,0.718560648
percentile_rank_socioeconomic_theme,percent_food_insecure,0.717740748
percent_food_insecure,percentile_rank_socioeconomic_theme,0.717740748
percent_food_insecure,percent_frequent_mental_distress,0.716627852
percent_frequent_mental_distress,percent_food_insecure,0.716627852
percent_food_insecure,percent_fair_or_poor_health,0.713940415
percent_fair_or_poor_health,percent_food_insecure,0.713940415
percent_below_poverty,percent_enrolled_in_free_or_reduced_lunch,0.712826346
percent_enrolled_in_free_or_reduced_lunch,percent_below_poverty,0.712826346
percent_no_highschool_diploma,teen_birth_rate,0.712594107
teen_birth_rate,percent_no_highschool_diploma,0.712594107
percentile_rank_per_capita_income,percent_no_highschool_diploma,0.711704543
percent_no_highschool_diploma,percentile_rank_per_capita_income,0.711704543
percentile_rank_social_vulnerability,teen_birth_rate,0.710054984
teen_birth_rate,percentile_rank_social_vulnerability,0.710054984
percent_children_in_poverty,teen_birth_rate,0.707620158
teen_birth_rate,percent_children_in_poverty,0.707620158
percent_no_highschool_diploma,percent_children_in_poverty,0.706915371
percent_children_in_poverty,percent_no_highschool_diploma,0.706915371
percentile_rank_socioeconomic_theme,teen_birth_rate,0.704628768
teen_birth_rate,percentile_rank_socioeconomic_theme,0.704628768
percentile_rank_institutionalized_in_group_quarters,percent_institutionalized_in_group_quarters,0.704228315
percent_institutionalized_in_group_quarters,percentile_rank_institutionalized_in_group_quarters,0.704228315
percentile_rank_social_vulnerability,percent_food_insecure,0.702628451
percent_food_insecure,percentile_rank_social_vulnerability,0.702628451
per_capita_income,percent_some_college,0.702017445
percent_some_college,per_capita_income,0.702017445
percentile_rank_no_highschool_diploma,percent_enrolled_in_free_or_reduced_lunch,0.699781633
percent_enrolled_in_free_or_reduced_lunch,percentile_rank_no_highschool_diploma,0.699781633
percent_enrolled_in_free_or_reduced_lunch,percent_fair_or_poor_health,0.697857297
percent_fair_or_poor_health,percent_enrolled_in_free_or_reduced_lunch,0.697857297
percentile_rank_social_vulnerability,percentile_rank_unemployed,0.696305087
percentile_rank_unemployed,percentile_rank_social_vulnerability,0.696305087
percent_below_poverty,percent_smokers,0.695958099
percent_smokers,percent_below_poverty,0.695958099
percentile_rank_no_highschool_diploma,percent_frequent_physical_distress,0.695178266
percent_frequent_physical_distress,percentile_rank_no_highschool_diploma,0.695178266
percent_insufficient_sleep,percent_frequent_physical_distress,0.690091201
percent_frequent_physical_distress,percent_insufficient_sleep,0.690091201
percentile_rank_no_highschool_diploma,percentile_rank_below_poverty,0.689422472
percentile_rank_below_poverty,percentile_rank_no_highschool_diploma,0.689422472
percent_below_poverty,income_ratio,0.687532877
income_ratio,percent_below_poverty,0.687532877
percentile_rank_household_comp_disability_theme,percentile_rank_disabled,0.68625887
percentile_rank_disabled,percentile_rank_household_comp_disability_theme,0.68625887
percentile_rank_social_vulnerability,percent_frequent_mental_distress,0.685624745
percent_frequent_mental_distress,percentile_rank_social_vulnerability,0.685624745
percentile_rank_per_capita_income,percent_enrolled_in_free_or_reduced_lunch,0.682920472
percent_enrolled_in_free_or_reduced_lunch,percentile_rank_per_capita_income,0.682920472
percent_black,percent_food_insecure,0.680338785
percent_food_insecure,percent_black,0.680338785
percent_unemployed_CDC,percent_below_poverty,0.674347061
percent_below_poverty,percent_unemployed_CDC,0.674347061
percentile_rank_socioeconomic_theme,percent_smokers,0.671770541
percent_smokers,percentile_rank_socioeconomic_theme,0.671770541
percent_minorities,percent_black,0.671522793
percent_black,percent_minorities,0.671522793
percentile_rank_mobile_homes,percentile_rank_socioeconomic_theme,0.669537972
percentile_rank_socioeconomic_theme,percentile_rank_mobile_homes,0.669537972
percent_frequent_physical_distress,teen_birth_rate,0.668504597
teen_birth_rate,percent_frequent_physical_distress,0.668504597
percentile_rank_mobile_homes,percentile_rank_no_highschool_diploma,0.66693458
percentile_rank_no_highschool_diploma,percentile_rank_mobile_homes,0.66693458
percent_no_highschool_diploma,percent_enrolled_in_free_or_reduced_lunch,0.666803742
percent_enrolled_in_free_or_reduced_lunch,percent_no_highschool_diploma,0.666803742
percent_no_highschool_diploma,percent_frequent_physical_distress,0.666672452
percent_frequent_physical_distress,percent_no_highschool_diploma,0.666672452
percentile_rank_housing_and_transportation,percentile_rank_no_vehicle,0.664532097
percentile_rank_no_vehicle,percentile_rank_housing_and_transportation,0.664532097
percent_unemployed_CDC,percent_children_in_poverty,0.664337361
percent_children_in_poverty,percent_unemployed_CDC,0.664337361
percentile_rank_unemployed,percentile_rank_below_poverty,0.663797441
percentile_rank_below_poverty,percentile_rank_unemployed,0.663797441
percentile_rank_limited_english_abilities,percent_limited_english_abilities,0.660203398
percent_limited_english_abilities,percentile_rank_limited_english_abilities,0.660203398
percentile_rank_below_poverty,percent_smokers,0.660071817
percent_smokers,percentile_rank_below_poverty,0.660071817
percentile_rank_per_capita_income,teen_birth_rate,0.659804446
teen_birth_rate,percentile_rank_per_capita_income,0.659804446
percent_insufficient_sleep,percent_fair_or_poor_health,0.658753324
percent_fair_or_poor_health,percent_insufficient_sleep,0.658753324
percent_insufficient_sleep,percent_smokers,0.657558948
percent_smokers,percent_insufficient_sleep,0.657558948
percentile_rank_social_vulnerability,percent_unemployed_CDC,0.657243824
percent_unemployed_CDC,percentile_rank_social_vulnerability,0.657243824
percentile_rank_no_highschool_diploma,percent_below_poverty,0.656488562
percent_below_poverty,percentile_rank_no_highschool_diploma,0.656488562
percentile_rank_unemployed,percent_children_in_poverty,0.655482188
percent_children_in_poverty,percentile_rank_unemployed,0.655482188
median_household_income,life_expectancy,0.655284068
life_expectancy,median_household_income,0.655284068
percentile_rank_below_poverty,income_ratio,0.654843355
income_ratio,percentile_rank_below_poverty,0.654843355
percentile_rank_unemployed,percent_frequent_mental_distress,0.654497968
percent_frequent_mental_distress,percentile_rank_unemployed,0.654497968
percentile_rank_socioeconomic_theme,percent_mobile_homes,0.653781042
percent_mobile_homes,percentile_rank_socioeconomic_theme,0.653781042
percentile_rank_social_vulnerability,percentile_rank_household_comp_disability_theme,0.650884471
percentile_rank_household_comp_disability_theme,percentile_rank_social_vulnerability,0.650884471
percentile_rank_no_highschool_diploma,percent_mobile_homes,0.650342724
percent_mobile_homes,percentile_rank_no_highschool_diploma,0.650342724
percentile_rank_disabled,percentile_rank_socioeconomic_theme,0.650296875
percentile_rank_socioeconomic_theme,percentile_rank_disabled,0.650296875
percentile_rank_limited_english_abilities,percent_not_proficient_in_english,0.650136147
percent_not_proficient_in_english,percentile_rank_limited_english_abilities,0.650136147
percent_unemployed_CDC,percent_frequent_physical_distress,0.649396974
percent_frequent_physical_distress,percent_unemployed_CDC,0.649396974
life_expectancy,twentieth_percentile_income,0.649251828
twentieth_percentile_income,life_expectancy,0.649251828
percentile_rank_unemployed,percent_frequent_physical_distress,0.648898654
percent_frequent_physical_distress,percentile_rank_unemployed,0.648898654
percent_children_in_poverty,percent_smokers,0.648163945
percent_smokers,percent_children_in_poverty,0.648163945
percentile_rank_per_capita_income,percent_smokers,0.647549509
percent_smokers,percentile_rank_per_capita_income,0.647549509
percentile_rank_mobile_homes,percentile_rank_per_capita_income,0.647432819
percentile_rank_per_capita_income,percentile_rank_mobile_homes,0.647432819
percentile_rank_unemployed,percent_below_poverty,0.645569472
percent_below_poverty,percentile_rank_unemployed,0.645569472
percent_no_highschool_diploma,percent_below_poverty,0.645488344
percent_below_poverty,percent_no_highschool_diploma,0.645488344
percentile_rank_minorities,percent_black,0.64423976
percent_black,percentile_rank_minorities,0.64423976
percentile_rank_no_highschool_diploma,percent_frequent_mental_distress,0.643925814
percent_frequent_mental_distress,percentile_rank_no_highschool_diploma,0.643925814
per_capita_income,life_expectancy,0.643527951
life_expectancy,per_capita_income,0.643527951
percent_enrolled_in_free_or_reduced_lunch,percent_frequent_physical_distress,0.642853553
percent_frequent_physical_distress,percent_enrolled_in_free_or_reduced_lunch,0.642853553
percentile_rank_below_poverty,percent_no_highschool_diploma,0.640701928
percent_no_highschool_diploma,percentile_rank_below_poverty,0.640701928
percentile_rank_socioeconomic_theme,percent_insufficient_sleep,0.639086543
percent_insufficient_sleep,percentile_rank_socioeconomic_theme,0.639086543
percentile_rank_socioeconomic_theme,percent_disabled,0.638007816
percent_disabled,percentile_rank_socioeconomic_theme,0.638007816
percent_disabled,percent_children_in_poverty,0.637888822
percent_children_in_poverty,percent_disabled,0.637888822
percentile_rank_disabled,percentile_rank_per_capita_income,0.637100079
percentile_rank_per_capita_income,percentile_rank_disabled,0.637100079
percentile_rank_disabled,percent_children_in_poverty,0.636959062
percent_children_in_poverty,percentile_rank_disabled,0.636959062
percentile_rank_below_poverty,percent_unemployed_CDC,0.636891817
percent_unemployed_CDC,percentile_rank_below_poverty,0.636891817
percent_disabled,percent_frequent_mental_distress,0.636860831
percent_frequent_mental_distress,percent_disabled,0.636860831
percentile_rank_household_comp_disability_theme,percent_disabled,0.63619492
percent_disabled,percentile_rank_household_comp_disability_theme,0.63619492
percent_unemployed_CDC,percent_frequent_mental_distress,0.633908663
percent_frequent_mental_distress,percent_unemployed_CDC,0.633908663
percentile_rank_per_capita_income,percent_food_insecure,0.631493743
percent_food_insecure,percentile_rank_per_capita_income,0.631493743
percentile_rank_below_poverty,teen_birth_rate,0.62902973
teen_birth_rate,percentile_rank_below_poverty,0.62902973
percent_unemployed_CDC,percent_food_insecure,0.628917783
percent_food_insecure,percent_unemployed_CDC,0.628917783
percent_food_insecure,income_ratio,0.627889255
income_ratio,percent_food_insecure,0.627889255
percentile_rank_household_comp_disability_theme,percentile_rank_socioeconomic_theme,0.626996856
percentile_rank_socioeconomic_theme,percentile_rank_household_comp_disability_theme,0.626996856
percentile_rank_limited_english_abilities,percent_hispanic,0.626894611
percent_hispanic,percentile_rank_limited_english_abilities,0.626894611
percentile_rank_disabled,percent_frequent_mental_distress,0.626730788
percent_frequent_mental_distress,percentile_rank_disabled,0.626730788
percentile_rank_household_comp_disability_theme,teen_birth_rate,0.626423249
teen_birth_rate,percentile_rank_household_comp_disability_theme,0.626423249
percentile_rank_no_vehicle,percentile_rank_below_poverty,0.625176776
percentile_rank_below_poverty,percentile_rank_no_vehicle,0.625176776
percentile_rank_per_capita_income,percent_disabled,0.62477968
percent_disabled,percentile_rank_per_capita_income,0.62477968
percent_enrolled_in_free_or_reduced_lunch,percent_food_insecure,0.624515017
percent_food_insecure,percent_enrolled_in_free_or_reduced_lunch,0.624515017
percentile_rank_per_capita_income,percent_mobile_homes,0.624510764
percent_mobile_homes,percentile_rank_per_capita_income,0.624510764
percentile_rank_social_vulnerability,percent_minorities,0.623402251
percent_minorities,percentile_rank_social_vulnerability,0.623402251
percentile_rank_social_vulnerability,percentile_rank_no_vehicle,0.623389116
percentile_rank_no_vehicle,percentile_rank_social_vulnerability,0.623389116
percentile_rank_household_comp_disability_theme,percent_children_in_poverty,0.622922816
percent_children_in_poverty,percentile_rank_household_comp_disability_theme,0.622922816
percentile_rank_no_vehicle,percent_below_poverty,0.622658636
percent_below_poverty,percentile_rank_no_vehicle,0.622658636
percent_enrolled_in_free_or_reduced_lunch,teen_birth_rate,0.622251448
teen_birth_rate,percent_enrolled_in_free_or_reduced_lunch,0.622251448
median_household_income,percent_some_college,0.619498555
percent_some_college,median_household_income,0.619498555
percent_below_poverty,teen_birth_rate,0.619366068
teen_birth_rate,percent_below_poverty,0.619366068
percent_unemployed_CDC,percent_fair_or_poor_health,0.619203752
percent_fair_or_poor_health,percent_unemployed_CDC,0.619203752
percent_mobile_homes,percent_no_highschool_diploma,0.617275569
percent_no_highschool_diploma,percent_mobile_homes,0.617275569
